 Id G C R silaba Spearman_log Spearman_log_smooth Pearson_log_smooth Spearman_all Spearman_smooth_all
33 33,0 24000,0 6,332573977646113e-07 34000,0 3,576958281393942e+148 0,8189756776302296 0,8597818882527373 0,8496225814960313 0,8785594144245872 0,9660833785536223
34 34,0 24000,0 6,332573977646113e-07 35000,0 3,576958281393942e+148 0,818584170879577 0,8594675572033166 0,8489599845375132 0,8781309552407603 0,9656741350806309
35 35,0 24000,0 6,332573977646113e-07 36000,0 3,576958281393942e+148 0,8179674177804231 0,8590944428536587 0,8484202959972964 0,87770897712406 0,9653085919774438
36 36,0 24000,0 6,332573977646113e-07 37000,0 3,576958281393942e+148 0,8177641277440808 0,8586933458414704 0,8477822320914885 0,8772770573889214 0,9649210846528691
37 37,0 24000,0 6,332573977646113e-07 38000,0 3,576958281393942e+148 0,8173935544806643 0,8582165071835652 0,8472161869234864 0,8768613192684497 0,9645461996354036
38 38,0 24000,0 6,332573977646113e-07 39000,0 3,576958281393942e+148 0,8169754803479635 0,8577872696904572 0,8468050392408007 0,8764552826090681 0,9642121192552943
39 39,0 24000,0 4,052847345693511e-07 1000,0 3,576958281393942e+148 0,8260033263064669 0,8683304202010987 0,864466274125786 0,8921550640062963 0,9724488236875546
40 40,0 24000,0 4,052847345693511e-07 2000,0 3,576958281393942e+148 0,8257822889228628 0,8679598554726613 0,865034301820804 0,8940286373515055 0,9732069541287043
41 41,0 24000,0 4,052847345693511e-07 3000,0 3,576958281393942e+148 0,8266800161675938 0,8690576222221472 0,8658245656677197 0,894983223978504 0,9735931599622463
42 42,0 24000,0 4,052847345693511e-07 4000,0 3,576958281393942e+148 0,8275376068066272 0,869309949801766 0,8655024065416355 0,895135650771698 0,9740335280202796
43 43,0 24000,0 4,052847345693511e-07 5000,0 3,576958281393942e+148 0,8268929250622816 0,8689845671963645 0,8655184871276986 0,8948504279115324 0,9742688959222355
44 44,0 24000,0 4,052847345693511e-07 6000,0 3,576958281393942e+148 0,8268176682795322 0,8687427499317527 0,865946971864419 0,8943659497888073 0,9745016903441017
45 45,0 24000,0 4,052847345693511e-07 7000,0 3,576958281393942e+148 0,8274464189167254 0,8687364202625064 0,8665759310748332 0,8937171640048129 0,9745854691487678
46 46,0 24000,0 4,052847345693511e-07 8000,0 3,576958281393942e+148 0,8289604294637297 0,8698413928824742 0,8670828843172096 0,8930290349592033 0,9746736562295141
47 47,0 24000,0 4,052847345693511e-07 9000,0 3,576958281393942e+148 0,8299306423514999 0,8706345379858123 0,8675742897500606 0,8921966000956044 0,9745858594826083
48 48,0 24000,0 4,052847345693511e-07 10000,0 3,576958281393942e+148 0,8306310992544381 0,8715985911927658 0,8681792081920786 0,8912526904689626 0,974417796935605
49 49,0 24000,0 4,052847345693511e-07 11000,0 3,576958281393942e+148 0,8311533952525456 0,8724515747681799 0,8681461909102425 0,8902130649590411 0,9742478258376693
50 50,0 24000,0 4,052847345693511e-07 12000,0 3,576958281393942e+148 0,8314643635794551 0,8725863531185366 0,8682615833266427 0,8892755879706298 0,9740602477333148
51 51,0 24000,0 4,052847345693511e-07 13000,0 3,576958281393942e+148 0,8318416906083864 0,8723631532459907 0,8680176142659569 0,8885027872584662 0,973801741204374
52 52,0 24000,0 4,052847345693511e-07 14000,0 3,576958281393942e+148 0,8315812905492216 0,871873305183167 0,8674086334595562 0,8881604790133243 0,9735201334932658
53 53,0 24000,0 4,052847345693511e-07 15000,0 3,576958281393942e+148 0,831312886090506 0,8715022491861363 0,8671209737389539 0,8878351486164495 0,9731861790639023
54 54,0 24000,0 4,052847345693511e-07 16000,0 3,576958281393942e+148 0,830404604772446 0,8707850738160191 0,8662835171078102 0,887488126072988 0,9728780581535922
55 55,0 24000,0 4,052847345693511e-07 17000,0 3,576958281393942e+148 0,8297327556233551 0,8700220281144264 0,8658254649509953 0,8870728567203696 0,9725916563713278
