 Id G C R silaba Spearman_log Spearman_all Spearman_smooth_all
98 2 24000 500000000 8000 36 0,876 0,808 0,919
99 2 24000 500000000 8000 38 0,874 0,808 0,919
100 2 24000 500000000 8000 40 0,890 0,808 0,919
101 2 24000 500000000 8000 42 0,966 0,808 0,919
102 2 24000 500000000 8000 44 0,925 0,808 0,919
103 2 24000 500000000 8000 46 0,686 0,808 0,919
104 2 24000 500000000 8000 48 0,794 0,808 0,919
105 2 24000 500000000 8000 50 0,783 0,808 0,919
106 2 24000 500000000 8000 52 0,728 0,808 0,919
107 2 24000 500000000 8000 54 0,860 0,808 0,919
108 2 24000 500000000 8000 56 0,818 0,808 0,919
109 2 24000 500000000 8000 58 0,817 0,808 0,919
110 2 24000 500000000 8000 60 0,793 0,808 0,919
111 2 24000 500000000 8000 62 0,663 0,808 0,919
112 2 24000 500000000 8000 64 0,760 0,808 0,919
113 2 24000 500000000 8000 66 0,815 0,808 0,919
114 2 24000 500000000 8000 68 0,804 0,808 0,919
115 2 24000 500000000 8000 70 0,671 0,808 0,919
116 2 24000 500000000 8000 72 0,747 0,808 0,919
117 2 24000 500000000 8000 74 0,813 0,808 0,919
118 2 24000 500000000 8000 76 0,830 0,808 0,919
119 2 24000 500000000 8000 78 0,842 0,808 0,919
120 3 24000 500000000 8500 0 0,675 0,807 0,917
121 3 24000 500000000 8500 2 0,825 0,807 0,917
122 3 24000 500000000 8500 4 0,846 0,807 0,917
123 3 24000 500000000 8500 6 0,877 0,807 0,917
124 3 24000 500000000 8500 8 0,844 0,807 0,917
125 3 24000 500000000 8500 10 0,589 0,807 0,917
126 3 24000 500000000 8500 12 0,717 0,807 0,917
127 3 24000 500000000 8500 14 0,775 0,807 0,917
128 3 24000 500000000 8500 16 0,683 0,807 0,917
129 3 24000 500000000 8500 18 0,815 0,807 0,917
130 3 24000 500000000 8500 20 0,719 0,807 0,917
131 3 24000 500000000 8500 22 0,781 0,807 0,917
132 3 24000 500000000 8500 24 0,827 0,807 0,917
133 3 24000 500000000 8500 26 0,849 0,807 0,917
134 3 24000 500000000 8500 28 0,829 0,807 0,917
135 3 24000 500000000 8500 30 0,861 0,807 0,917
136 3 24000 500000000 8500 32 0,862 0,807 0,917
137 3 24000 500000000 8500 34 0,858 0,807 0,917
138 3 24000 500000000 8500 36 0,874 0,807 0,917
139 3 24000 500000000 8500 38 0,874 0,807 0,917
140 3 24000 500000000 8500 40 0,888 0,807 0,917
141 3 24000 500000000 8500 42 0,966 0,807 0,917
142 3 24000 500000000 8500 44 0,927 0,807 0,917
143 3 24000 500000000 8500 46 0,692 0,807 0,917
144 3 24000 500000000 8500 48 0,795 0,807 0,917
145 3 24000 500000000 8500 50 0,777 0,807 0,917
146 3 24000 500000000 8500 52 0,722 0,807 0,917
147 3 24000 500000000 8500 54 0,859 0,807 0,917
148 3 24000 500000000 8500 56 0,821 0,807 0,917
149 3 24000 500000000 8500 58 0,810 0,807 0,917
150 3 24000 500000000 8500 60 0,796 0,807 0,917
151 3 24000 500000000 8500 62 0,673 0,807 0,917
152 3 24000 500000000 8500 64 0,757 0,807 0,917
153 3 24000 500000000 8500 66 0,809 0,807 0,917
154 3 24000 500000000 8500 68 0,803 0,807 0,917
155 3 24000 500000000 8500 70 0,678 0,807 0,917
156 3 24000 500000000 8500 72 0,742 0,807 0,917
157 3 24000 500000000 8500 74 0,808 0,807 0,917
158 3 24000 500000000 8500 76 0,827 0,807 0,917
159 3 24000 500000000 8500 78 0,829 0,807 0,917
160 4 24000 500000000 9000 0 0,672 0,805 0,915
161 4 24000 500000000 9000 2 0,819 0,805 0,915
162 4 24000 500000000 9000 4 0,843 0,805 0,915
163 4 24000 500000000 9000 6 0,873 0,805 0,915
164 4 24000 500000000 9000 8 0,846 0,805 0,915
165 4 24000 500000000 9000 10 0,584 0,805 0,915
166 4 24000 500000000 9000 12 0,718 0,805 0,915
167 4 24000 500000000 9000 14 0,769 0,805 0,915
168 4 24000 500000000 9000 16 0,676 0,805 0,915
169 4 24000 500000000 9000 18 0,813 0,805 0,915
170 4 24000 500000000 9000 20 0,715 0,805 0,915
171 4 24000 500000000 9000 22 0,782 0,805 0,915
172 4 24000 500000000 9000 24 0,824 0,805 0,915
173 4 24000 500000000 9000 26 0,852 0,805 0,915
174 4 24000 500000000 9000 28 0,828 0,805 0,915
175 4 24000 500000000 9000 30 0,866 0,805 0,915
176 4 24000 500000000 9000 32 0,867 0,805 0,915
177 4 24000 500000000 9000 34 0,858 0,805 0,915
178 4 24000 500000000 9000 36 0,870 0,805 0,915
179 4 24000 500000000 9000 38 0,864 0,805 0,915
180 4 24000 500000000 9000 40 0,892 0,805 0,915
181 4 24000 500000000 9000 42 0,967 0,805 0,915
182 4 24000 500000000 9000 44 0,927 0,805 0,915
183 4 24000 500000000 9000 46 0,696 0,805 0,915
184 4 24000 500000000 9000 48 0,797 0,805 0,915
185 4 24000 500000000 9000 50 0,783 0,805 0,915
186 4 24000 500000000 9000 52 0,719 0,805 0,915
187 4 24000 500000000 9000 54 0,859 0,805 0,915
188 4 24000 500000000 9000 56 0,818 0,805 0,915
189 4 24000 500000000 9000 58 0,803 0,805 0,915
190 4 24000 500000000 9000 60 0,794 0,805 0,915
191 4 24000 500000000 9000 62 0,696 0,805 0,915
192 4 24000 500000000 9000 64 0,754 0,805 0,915
193 4 24000 500000000 9000 66 0,805 0,805 0,915
194 4 24000 500000000 9000 68 0,803 0,805 0,915
195 4 24000 500000000 9000 70 0,669 0,805 0,915
196 4 24000 500000000 9000 72 0,740 0,805 0,915
197 4 24000 500000000 9000 74 0,804 0,805 0,915
198 4 24000 500000000 9000 76 0,827 0,805 0,915
199 4 24000 500000000 9000 78 0,827 0,805 0,915
200 5 24000 550000000 7000 0 0,699 0,800 0,919
201 5 24000 550000000 7000 2 0,817 0,800 0,919
